title,oldURL,devURL,prodURL
Fostering Bioinformatics Growth in Türkiye,https://nextflow.io/blog/2024/bioinformatics-growth-in-turkiye.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPWy4,https://seqera.io/blog/bioinformatics-growth-in-turkiye
Nextflow 24.04 - Release highlights,https://nextflow.io/blog/2024/nextflow-24.04-highlights.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltG7Im,https://seqera.io/blog/nextflow-24.04-highlights
Open call for new Nextflow Ambassadors closes June 14,https://nextflow.io/blog/2024/ambassador-second-call.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPWcr,https://seqera.io/blog/ambassador-second-call
Empowering Bioinformatics: Mentoring Across Continents with Nextflow,https://nextflow.io/blog/2024/empowering-bioinformatics-mentoring.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPXF2,https://seqera.io/blog/empowering-bioinformatics-mentoring
Nextflow's colorful new console output,https://nextflow.io/blog/2024/nextflow-colored-logs.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPYob,https://seqera.io/blog/nextflow-colored-logs
"Nextflow and nf-core Mentorship, Round 3",https://nextflow.io/blog/2023/czi-mentorship-round-3.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrp23O,https://seqera.io/blog/czi-mentorship-round-3
Nextflow Summit 2023 Recap,https://nextflow.io/blog/2023/nextflow-summit-2023-recap.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrp36E,https://seqera.io/blog/nextflow-summit-2023-recap
Introducing community.seqera.io,https://nextflow.io/blog/2023/community-forum.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPTkh,https://seqera.io/blog/community-forum
Introducing the Nextflow Ambassador Program,https://nextflow.io/blog/2023/introducing-nextflow-ambassador-program.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltG5TQ,https://seqera.io/blog/introducing-nextflow-ambassador-program
Geraldine Van der Auwera joins Seqera,https://nextflow.io/blog/2023/geraldine-van-der-auwera-joins-seqera.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrp2Q5,https://seqera.io/blog/geraldine-van-der-auwera-joins-seqera
Nextflow goes to university!,https://nextflow.io/blog/2023/nextflow-goes-to-university.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltG5jc,https://seqera.io/blog/nextflow-goes-to-university
A Nextflow-Docker Murder Mystery: The mysterious case of the “OOM killer”,https://nextflow.io/blog/2023/a-nextflow-docker-murder-mystery-the-mysterious-case-of-the-oom-killer.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpT1ye,https://seqera.io/blog/a-nextflow-docker-murder-mystery-the-mysterious-case-of-the-oom-killer
Reflecting on ten years of Nextflow awesomeness,https://nextflow.io/blog/2023/reflecting-on-ten-years-of-nextflow-awesomeness.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpT5En,https://seqera.io/blog/reflecting-on-ten-years-of-nextflow-awesomeness
Nextflow on BIG IRON: Twelve tips for improving the effectiveness of pipelines on HPC clusters,https://nextflow.io/blog/2023/best-practices-deploying-pipelines-with-hpc-workload-managers.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpT2PR,https://seqera.io/blog/best-practices-deploying-pipelines-with-hpc-workload-managers
Selecting the right storage architecture for your Nextflow pipelines,https://nextflow.io/blog/2023/selecting-the-right-storage-architecture-for-your-nextflow-pipelines.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrp494,https://seqera.io/blog/selecting-the-right-storage-architecture-for-your-nextflow-pipelines
Celebrating our largest international training event and hackathon to date,https://nextflow.io/blog/2023/celebrating-our-largest-international-training-event-and-hackathon-to-date.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrp1AH,https://seqera.io/blog/celebrating-our-largest-international-training-event-and-hackathon-to-date
"Nextflow and nf-core Mentorship, Round 2",https://nextflow.io/blog/2023/czi-mentorship-round-2.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltG4cn,https://seqera.io/blog/czi-mentorship-round-2
The State of Kubernetes in Nextflow,https://nextflow.io/blog/2023/the-state-of-kubernetes-in-nextflow.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpT5M6,https://seqera.io/blog/the-state-of-kubernetes-in-nextflow
Learn Nextflow in 2023,https://nextflow.io/blog/2023/learn-nextflow-in-2023.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPV3I,https://seqera.io/blog/learn-nextflow-in-2023
Get started with Nextflow on Google Cloud Batch,https://nextflow.io/blog/2023/nextflow-with-gbatch.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrp3ZP,https://seqera.io/blog/nextflow-with-gbatch
Analyzing caching behavior of pipelines,https://nextflow.io/blog/2022/caching-behavior-analysis.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltG1gc,https://seqera.io/blog/caching-behavior-analysis
Nextflow Summit 2022 Recap,https://nextflow.io/blog/2022/nextflow-summit-2022-recap.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPR11,https://seqera.io/blog/nextflow-summit-2022-recap
Rethinking containers for cloud native pipelines,https://nextflow.io/blog/2022/rethinking-containers-for-cloud-native-pipelines.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrp00x,https://seqera.io/blog/rethinking-containers-for-cloud-native-pipelines
Turbo-charging the Nextflow command line with Fig!,https://nextflow.io/blog/2022/turbocharging-nextflow-with-fig.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrp0XN,https://seqera.io/blog/turbocharging-nextflow-with-fig
"Nextflow and nf-core mentorship, Round 1",https://nextflow.io/blog/2022/czi-mentorship-round-1.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltG2L6,https://seqera.io/blog/czi-mentorship-round-1
Deploy Nextflow Pipelines with Google Cloud Batch!,https://nextflow.io/blog/2022/deploy-nextflow-pipelines-with-google-cloud-batch.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpT1Sz,https://seqera.io/blog/deploy-nextflow-pipelines-with-google-cloud-batch
Evolution of the Nextflow runtime,https://nextflow.io/blog/2022/evolution-of-nextflow-runtime.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPQOq,https://seqera.io/blog/evolution-of-nextflow-runtime
Nextflow’s community is moving to Slack!,https://nextflow.io/blog/2022/nextflow-is-moving-to-slack.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPQfo,https://seqera.io/blog/nextflow-is-moving-to-slack
Learning Nextflow in 2022,https://nextflow.io/blog/2022/learn-nextflow-in-2022.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrozXm,https://seqera.io/blog/learn-nextflow-in-2022
Configure Git private repositories with Nextflow,https://nextflow.io/blog/2021/configure-git-repositories-with-nextflow.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFqeR,https://seqera.io/blog/configure-git-repositories-with-nextflow
Setting up a Nextflow environment on Windows 10,https://nextflow.io/blog/2021/setup-nextflow-on-windows.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPPIy,https://seqera.io/blog/setup-nextflow-on-windows
Introducing Nextflow support for SQL databases,https://nextflow.io/blog/2021/nextflow-sql-support.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFxxr,https://seqera.io/blog/nextflow-sql-support
Five more tips for Nextflow user on HPC,https://nextflow.io/blog/2021/5-more-tips-for-nextflow-user-on-hpc.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPMV3,https://seqera.io/blog/5-more-tips-for-nextflow-user-on-hpc
5 Nextflow Tips for HPC Users,https://nextflow.io/blog/2021/5_tips_for_hpc_users.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpSyP1,https://seqera.io/blog/5_tips_for_hpc_users
6 Tips for Setting Up Your Nextflow Dev Environment,https://nextflow.io/blog/2021/nextflow-developer-environment.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFxli,https://seqera.io/blog/nextflow-developer-environment
Introducing Nextflow for Azure Batch,https://nextflow.io/blog/2021/introducing-nextflow-for-azure-batch.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpSyWK,https://seqera.io/blog/introducing-nextflow-for-azure-batch
Learning Nextflow in 2020,https://nextflow.io/blog/2020/learning-nextflow-in-2020.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpSyAP,https://seqera.io/blog/learning-nextflow-in-2020
More syntax sugar for Nextflow developers!,https://nextflow.io/blog/2020/groovy3-syntax-sugar.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPM5b,https://seqera.io/blog/groovy3-syntax-sugar
The Nextflow CLI - tricks and treats!,https://nextflow.io/blog/2020/cli-docs-release.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrovFw,https://seqera.io/blog/cli-docs-release
Nextflow DSL 2 is here!,https://nextflow.io/blog/2020/dsl2-is-here.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPLss,https://seqera.io/blog/dsl2-is-here
Easy provenance reporting,https://nextflow.io/blog/2019/easy-provenance-report.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFpzx,https://seqera.io/blog/easy-provenance-report
Troubleshooting Nextflow resume,https://nextflow.io/blog/2019/troubleshooting-nextflow-resume.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpSu2g,https://seqera.io/blog/troubleshooting-nextflow-resume
Demystifying Nextflow resume,https://nextflow.io/blog/2019/demystifying-nextflow-resume.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFpjl,https://seqera.io/blog/demystifying-nextflow-resume
One more step towards Nextflow modules,https://nextflow.io/blog/2019/one-more-step-towards-modules.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpStqV,https://seqera.io/blog/one-more-step-towards-modules
Nextflow 19.04.0 stable release is out!,https://nextflow.io/blog/2019/release-19.04.0-stable.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPLPB,https://seqera.io/blog/release-19.04.0-stable
Edge release 19.03: The Sequence Read Archive & more!,https://nextflow.io/blog/2019/release-19.03.0-edge.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkroud2,https://seqera.io/blog/release-19.03.0-edge
Bringing Nextflow to Google Cloud Platform with WuXi NextCODE,https://nextflow.io/blog/2018/bringing-nextflow-to-google-cloud-wuxinextcode.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFoEe,https://seqera.io/blog/bringing-nextflow-to-google-cloud-wuxinextcode
"Goodbye zero, Hello Apache!",https://nextflow.io/blog/2018/goodbye-zero-hello-apache.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrotAG,https://seqera.io/blog/goodbye-zero-hello-apache
Nextflow meets Dockstore,https://nextflow.io/blog/2018/nextflow-meets-dockstore.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPDoK,https://seqera.io/blog/nextflow-meets-dockstore
Clarification about the Nextflow license,https://nextflow.io/blog/2018/clarification-about-nextflow-license.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrosnZ,https://seqera.io/blog/clarification-about-nextflow-license
Conda support has landed!,https://nextflow.io/blog/2018/conda-support-has-landed.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrosxI,https://seqera.io/blog/conda-support-has-landed
Nextflow turns five! Happy birthday!,https://nextflow.io/blog/2018/nextflow-turns-5.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpStjC,https://seqera.io/blog/nextflow-turns-5
Running CAW with Singularity and Nextflow,https://nextflow.io/blog/2017/caw-and-singularity.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFgCh,https://seqera.io/blog/caw-and-singularity
Scaling with AWS Batch,https://nextflow.io/blog/2017/scaling-with-aws-batch.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFniG,https://seqera.io/blog/scaling-with-aws-batch
Nexflow Hackathon 2017,https://nextflow.io/blog/2017/nextflow-hack17.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkros0w,https://seqera.io/blog/nextflow-hack17
Nextflow and the Common Workflow Language,https://nextflow.io/blog/2017/nextflow-and-cwl.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpSrvA,https://seqera.io/blog/nextflow-and-cwl
Nextflow workshop is coming!,https://nextflow.io/blog/2017/nextflow-workshop.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpSsEe,https://seqera.io/blog/nextflow-workshop
Nextflow published in Nature Biotechnology,https://nextflow.io/blog/2017/nextflow-nature-biotech-paper.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpSs2T,https://seqera.io/blog/nextflow-nature-biotech-paper
More fun with containers in HPC,https://nextflow.io/blog/2016/more-fun-containers-hpc.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPBtY,https://seqera.io/blog/more-fun-containers-hpc
Enabling elastic computing with Nextflow,https://nextflow.io/blog/2016/enabling-elastic-computing-nextflow.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrorKn,https://seqera.io/blog/enabling-elastic-computing-nextflow
Deploy your computational pipelines in the cloud at the snap-of-a-finger,https://nextflow.io/blog/2016/deploy-in-the-cloud-at-snap-of-a-finger.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoPA31,https://seqera.io/blog/deploy-in-the-cloud-at-snap-of-a-finger
Docker for dunces & Nextflow for nunces,https://nextflow.io/blog/2016/docker-for-dunces-nextflow-for-nunces.html,https://seqera.io/preview?type=blogPostDev&id=CXkBDLKNuhb4nnJzSpSnAT,https://seqera.io/blog/docker-for-dunces-nextflow-for-nunces
Workflows & publishing: best practice for reproducibility,https://nextflow.io/blog/2016/best-practice-for-reproducibility.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoP9m3,https://seqera.io/blog/best-practice-for-reproducibility
Error recovery and automatic resource management with Nextflow,https://nextflow.io/blog/2016/error-recovery-and-automatic-resources-management.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFfoP,https://seqera.io/blog/error-recovery-and-automatic-resources-management
Developing a bioinformatics pipeline across multiple environments,https://nextflow.io/blog/2016/developing-bioinformatics-pipeline-across-multiple-environments.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkroqur,https://seqera.io/blog/developing-bioinformatics-pipeline-across-multiple-environments
MPI-like distributed execution with Nextflow,https://nextflow.io/blog/2015/mpi-like-execution-with-nextflow.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFexm,https://seqera.io/blog/mpi-like-execution-with-nextflow
The impact of Docker containers on the performance of genomic pipelines,https://nextflow.io/blog/2015/the-impact-of-docker-on-genomic-pipelines.html,https://seqera.io/preview?type=blogPostDev&id=ntV3A5cVsWRByk7zltFf9v,https://seqera.io/blog/the-impact-of-docker-on-genomic-pipelines
Innovation In Science - The story behind Nextflow,https://nextflow.io/blog/2015/innovation-in-science-the-story-behind-nextflow.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoP99s,https://seqera.io/blog/innovation-in-science-the-story-behind-nextflow
Introducing Nextflow REPL Console,https://nextflow.io/blog/2015/introducing-nextflow-console.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrooih,https://seqera.io/blog/introducing-nextflow-console
Using Docker for scientific data analysis in an HPC cluster,https://nextflow.io/blog/2014/using-docker-in-hpc-cluster.html,https://seqera.io/preview?type=blogPostDev&id=mNsm4Vx1W1Wy6aYYkrooM0,https://seqera.io/blog/using-docker-in-hpc-cluster
Reproducibility in Science - Nextflow meets Docker,https://nextflow.io/blog/2014/nextflow-meets-docker.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoP8bw,https://seqera.io/blog/nextflow-meets-docker
Share Nextflow pipelines with GitHub,https://nextflow.io/blog/2014/share-nextflow-pipelines-with-github.html,https://seqera.io/preview?type=blogPostDev&id=L90MLvtZSPRQtUzPRoP8su,https://seqera.io/blog/share-nextflow-pipelines-with-github
